episode,return
0,14.0
1,40.0
2,14.0
3,11.0
4,18.0
5,15.0
6,16.0
7,14.0
8,47.0
9,34.0
10,11.0
11,18.0
12,21.0
13,11.0
14,11.0
15,26.0
16,49.0
17,38.0
18,15.0
19,20.0
20,28.0
21,24.0
22,20.0
23,33.0
24,11.0
25,11.0
26,15.0
27,9.0
28,22.0
29,18.0
30,15.0
31,17.0
32,11.0
33,24.0
34,13.0
35,28.0
36,11.0
37,27.0
38,16.0
39,10.0
40,20.0
41,42.0
42,23.0
43,13.0
44,13.0
45,12.0
46,22.0
47,15.0
48,30.0
49,14.0
50,19.0
51,11.0
52,11.0
53,25.0
54,17.0
55,15.0
56,18.0
57,15.0
58,14.0
59,11.0
60,15.0
61,23.0
62,12.0
63,32.0
64,15.0
65,13.0
66,19.0
67,35.0
68,15.0
69,16.0
70,20.0
71,22.0
72,25.0
73,19.0
74,62.0
75,13.0
76,15.0
77,11.0
78,18.0
79,25.0
80,28.0
81,27.0
82,20.0
83,15.0
84,9.0
85,16.0
86,42.0
87,17.0
88,22.0
89,14.0
90,37.0
91,22.0
92,33.0
93,33.0
94,16.0
95,14.0
96,18.0
97,34.0
98,27.0
99,11.0
100,95.0
101,40.0
102,14.0
103,19.0
104,18.0
105,31.0
106,13.0
107,13.0
108,45.0
109,44.0
110,19.0
111,20.0
112,11.0
113,15.0
114,24.0
115,16.0
116,30.0
117,59.0
118,35.0
119,21.0
120,38.0
121,42.0
122,26.0
123,14.0
124,9.0
125,19.0
126,21.0
127,20.0
128,84.0
129,13.0
130,27.0
131,28.0
132,19.0
133,19.0
134,21.0
135,22.0
136,19.0
137,18.0
138,30.0
139,15.0
140,12.0
141,25.0
142,51.0
143,58.0
144,25.0
145,14.0
146,28.0
147,30.0
148,34.0
149,14.0
150,17.0
151,45.0
152,12.0
153,13.0
154,49.0
155,25.0
156,34.0
157,66.0
158,28.0
159,19.0
160,47.0
161,45.0
162,46.0
163,15.0
164,14.0
165,17.0
166,35.0
167,58.0
168,59.0
169,34.0
170,19.0
171,29.0
172,42.0
173,32.0
174,34.0
175,17.0
176,25.0
177,60.0
178,19.0
179,20.0
180,20.0
181,11.0
182,34.0
183,41.0
184,18.0
185,32.0
186,24.0
187,32.0
188,14.0
189,41.0
190,55.0
191,23.0
192,37.0
193,81.0
194,20.0
195,12.0
196,48.0
197,41.0
198,78.0
199,45.0
200,75.0
201,35.0
202,33.0
203,71.0
204,49.0
205,28.0
206,25.0
207,22.0
208,41.0
209,24.0
210,33.0
211,110.0
212,100.0
213,24.0
214,40.0
215,24.0
216,24.0
217,45.0
218,34.0
219,35.0
220,52.0
221,16.0
222,64.0
223,51.0
224,38.0
225,27.0
226,83.0
227,53.0
228,83.0
229,19.0
230,51.0
231,67.0
232,15.0
233,36.0
234,37.0
235,62.0
236,28.0
237,79.0
238,29.0
239,38.0
240,50.0
241,44.0
242,23.0
243,10.0
244,49.0
245,58.0
246,74.0
247,21.0
248,28.0
249,37.0
250,20.0
251,16.0
252,34.0
253,59.0
254,88.0
255,23.0
256,67.0
257,37.0
258,33.0
259,57.0
260,27.0
261,41.0
262,42.0
263,21.0
264,69.0
265,54.0
266,25.0
267,65.0
268,48.0
269,40.0
270,47.0
271,34.0
272,29.0
273,47.0
274,50.0
275,91.0
276,27.0
277,40.0
278,76.0
279,31.0
280,103.0
281,28.0
282,24.0
283,62.0
284,23.0
285,31.0
286,94.0
287,34.0
288,18.0
289,68.0
290,41.0
291,15.0
292,12.0
293,43.0
294,24.0
295,10.0
296,43.0
297,15.0
298,26.0
299,36.0
300,27.0
301,110.0
302,65.0
303,18.0
304,22.0
305,15.0
306,63.0
307,21.0
308,45.0
309,78.0
310,58.0
311,18.0
312,22.0
313,30.0
314,26.0
315,46.0
316,25.0
317,12.0
318,82.0
319,15.0
320,40.0
321,60.0
322,31.0
323,37.0
324,24.0
325,14.0
326,85.0
327,36.0
328,67.0
329,43.0
330,33.0
331,29.0
332,62.0
333,32.0
334,26.0
335,67.0
336,29.0
337,63.0
338,37.0
339,68.0
340,39.0
341,16.0
342,92.0
343,86.0
344,70.0
345,18.0
346,44.0
347,79.0
348,127.0
349,32.0
350,103.0
351,46.0
352,120.0
